count_reference,patern,heuristic,score,count_debts,r_master,r_r3.8.2,r_r4.10,r_r4.11,r_r4.12,r_r4.6,r_r4.7,r_r4.8,r_r4.9,d_CODE_DEBT,d_DEFECT_DEBT,d_DESIGN_DEBT,d_TEST_DEBT,d_UNKNOWN_DEBT,i_CODE_DEBT_I,i_COMMENT_ANALYSIS,i_COMPLEX_METHOD,i_DEFECT_DEBT_I,i_DESIGN_DEBT_I,i_DUPLICATED_CODE,i_FEATURE_ENVY,i_GOD_CLASS,i_TEST_DEBT_I,i_UNKNOWN_DEBT_I
-1.0496736535801767,-0.6083090972772516,-0.5170091774025762,-0.614070362947608,-1.0005123935518454,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
-1.0496736535801767,-0.5564650293457305,-0.5170091774025762,-0.5649406651997706,-1.0005123935518454,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
-1.0496736535801767,-0.5737463853229042,-0.5170091774025762,-0.5813172311157164,-1.0005123935518454,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
-1.0496736535801767,-0.2886040116995386,-0.5170091774025762,-0.3111038935026104,-0.6783474028281512,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
-1.0496736535801767,-0.5737463853229042,-0.5170091774025762,-0.5813172311157164,-1.0005123935518454,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
-1.0496736535801767,-0.48733960543703586,-0.5170091774025762,-0.4994344015359873,-1.0005123935518454,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
-1.0496736535801767,-0.5046209614142095,-0.5170091774025762,-0.5158109674519331,-1.0005123935518454,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
-1.0496736535801767,-0.5910277413000778,-0.5170091774025762,-0.5976937970316623,-1.0005123935518454,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
-1.0496736535801767,-0.426854859516928,-0.5170091774025762,-0.44211642083017694,-0.6783474028281512,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
-1.0496736535801767,-0.4700582494598622,-0.3593103264597467,-0.4645523161350227,-0.6783474028281512,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
-1.0496736535801767,-0.582387063311491,-0.5170091774025762,-0.5895055140736893,-1.0005123935518454,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
-1.0496736535801767,-0.4009328255511675,-0.15974452393917474,-0.39658956758384756,-1.0005123935518454,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
-1.0496736535801767,-0.5564650293457305,-0.5170091774025762,-0.5649406651997706,-1.0005123935518454,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
-1.0496736535801767,-0.5910277413000778,-0.5170091774025762,-0.5976937970316623,-1.0005123935518454,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
-1.0496736535801767,-0.5391836733685569,-0.5170091774025762,-0.5485640992838248,-1.0005123935518454,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
-1.0496736535801767,-0.6083090972772516,-0.5170091774025762,-0.614070362947608,-1.0005123935518454,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1.157382703854262,-0.3318074016424728,-0.5170091774025762,-0.35204530829247493,1.254642541514014,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1.157382703854262,-0.29724468968812545,-0.5170091774025762,-0.31929217646058333,1.254642541514014,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1.157382703854262,1.0334197205542475,-0.5170091774025762,0.9417033990672445,0.9324775507903198,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0
1.157382703854262,-0.29724468968812545,-0.5170091774025762,-0.31929217646058333,1.254642541514014,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1.157382703854262,0.1347892097412164,-0.5170091774025762,0.09012197143806208,0.9324775507903198,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1.157382703854262,0.04838242985534802,-0.5170091774025762,0.008239141858333002,0.9324775507903198,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,2,0,1
-0.7343798882323997,-0.43549553750551484,-0.5170091774025762,-0.45030470378814985,-0.6783474028281512,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1.157382703854262,-0.17627519784790974,-0.5170091774025762,-0.20465621504896261,1.254642541514014,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1.157382703854262,0.9556536186569659,-0.5170091774025762,0.8680088524454884,1.254642541514014,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
1.157382703854262,0.9124502287140317,2.321570139568356,0.9936171130207928,0.9324775507903198,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,2,0,1
