count_reference,patern,heuristic,score,count_debts,r_master,r_rel/1.1,r_rel/1.10.0,r_rel/1.10.2,r_rel/1.2,r_rel/1.3,r_rel/1.4,r_rel/1.5,r_rel/1.6.0,r_rel/1.7.0,r_rel/1.8.0,r_rel/1.9.0,d_BUILD_DEBT,d_CODE_DEBT,d_DEFECT_DEBT,d_DESIGN_DEBT,d_DOCUMENTATION_DEBT,d_TEST_DEBT,d_UNKNOWN_DEBT,i_BRAIN_METHOD,i_BUILD_DEBT_I,i_CODE_DEBT_I,i_COMMENT_ANALYSIS,i_COMPLEX_METHOD,i_DEFECT_DEBT_I,i_DESIGN_DEBT,i_DOCUMENTATION_DEBT_I,i_DUPLICATED_CODE,i_FEATURE_ENVY,i_GOD_CLASS,i_TEST_DEBT_I,i_UNKNOWN_DEBT_I
-0.46013655443508045,-0.18010459682473978,0.10612561614797891,-0.15564785499409833,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.30252867565183905,-0.38540979100155526,-0.31111418422658405,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
-0.46013655443508045,-0.26775906853865333,-0.38540979100155526,-0.27871402104153004,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.46013655443508045,-0.39573459724096716,-0.21444095373215205,-0.38925575426112585,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.3974876866752454,-0.38540979100155526,-0.3996020248580338,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.2715574289795896,-0.38540979100155526,-0.28225353466678804,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.46013655443508045,-0.22013347224076033,0.09544006381864115,-0.18532531539049235,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.22013347224076033,-0.38540979100155526,-0.23433396558637218,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.33729828276502477,-0.22512650606148976,-0.327178130679678,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.3974876866752454,-0.38540979100155526,-0.3996020248580338,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
